date_cet,belgium_be,denmark_dk,germany_de,great_britain_gb,great_britain_gb__epex,great_britain_gb__nordpool,netherlands_nl,norway_no
2026-02-10 14:00:00,103.19,118.02,116.22,108.68,108.28,108.84,109.12,113.17
2026-02-10 15:00:00,112.55,130.2,128.12,111.38,111.38,111.38,119.64,124.07
2026-02-10 16:00:00,110.5,131.15,127.66,113.96,114.71,113.67,118.42,124.14
2026-02-10 17:00:00,119.26,138.66,135.24,120.55,120.56,120.55,126.72,131.54
2026-02-10 18:00:00,121.8,136.04,131.71,123.04,123.09,123.03,126.35,130.6
2026-02-10 19:00:00,112.48,121.89,120.33,118.33,119.95,117.7,116.03,117.33
2026-02-10 20:00:00,96.69,111.28,111.25,108.59,110.38,107.93,103.8,109.31
2026-02-10 21:00:00,86.44,108.14,107.16,101.02,100.42,101.27,96.53,104.18
2026-02-10 22:00:00,86.96,106.7,106.69,98.22,98.56,98.07,96.62,103.74
2026-02-10 23:00:00,80.49,100.53,100.53,91.83,92.51,91.5,90.29,99.96
2026-02-11 00:00:00,79.15,96.79,96.78,89.19,89.22,89.18,87.17,99.78
2026-02-11 01:00:00,79.15,96.63,96.63,91.19,92.2,90.77,87.25,99.57
2026-02-11 02:00:00,76.69,95.76,95.61,90.35,90.77,90.18,85.12,98.5
2026-02-11 03:00:00,72.23,94.83,94.68,86.64,89.56,85.44,82.88,97.55
2026-02-11 04:00:00,72.33,94.97,94.85,84.04,88.41,82.33,83.01,97.74
2026-02-11 05:00:00,75.97,99.28,99.14,82.41,86.86,80.62,87.31,99.56
2026-02-11 06:00:00,86.81,110.65,110.48,87.14,89.71,86.13,98.21,107.37
2026-02-11 07:00:00,101.17,129.23,129.0,97.26,95.51,98.06,113.9,125.3
2026-02-11 08:00:00,109.13,137.21,137.07,103.05,103.85,102.76,121.65,132.77
2026-02-11 09:00:00,113.2,132.08,131.44,109.96,109.23,110.23,120.26,127.3
2026-02-11 10:00:00,103.02,128.31,127.5,111.77,109.65,112.49,113.13,124.15
2026-02-11 11:00:00,95.5,125.96,125.94,105.46,102.12,106.59,109.51,121.93
2026-02-11 12:00:00,87.93,115.88,115.86,99.68,99.66,99.68,100.78,112.78
2026-02-11 13:00:00,88.85,117.35,116.7,96.93,97.77,96.66,101.82,113.52
2026-02-11 14:00:00,88.83,116.71,116.7,98.3,98.78,98.14,101.78,113.45
2026-02-11 15:00:00,91.39,118.19,118.19,97.21,101.04,95.93,103.84,114.99
2026-02-11 16:00:00,97.74,123.02,122.32,101.11,106.21,99.37,109.12,119.16
2026-02-11 17:00:00,101.54,127.91,127.9,109.83,112.04,109.06,113.98,124.55
2026-02-11 18:00:00,106.21,125.48,125.47,112.47,112.29,112.52,115.32,122.18
2026-02-11 19:00:00,98.85,112.04,112.02,106.95,108.16,106.53,104.78,109.21
2026-02-11 20:00:00,87.71,105.47,104.93,96.95,100.18,95.98,96.12,103.25
2026-02-11 21:00:00,81.8,104.7,104.38,93.43,96.09,92.61,93.11,103.07
